Hi, I'm looking for a train that is going to cambridge and arriving there by 20:45, is there anything like that?|There are over 1,000 trains like that.  Where will you be departing from?
Yes, could I have the reference number as well please?|Sorry booking was unsuccessful. Can you try a different time or day?
Can you try 16:30?|I was able to make that reservation at 16:30 your reference number is AKF1B848.
I also need a train from Cambridge to London kings cross that leaves on Friday and arrives at 17:00.|The closest to that time is TR2420 which leaves Cambridge at 15:00 and arrives in London, Kings Cross at 15:51. Would that meet your needs?
Yes, it would. Can you book me 6 tickets for that for Friday please?|Ok, I've booked 6 tickets, reference number FFVH42H7.  Your total is 141.6 GBP payable at the station.  Is there anything else I can help you with?
No, I think that is all for today. Thank you for all your help!|You're welcome. Let me know if you think of anything else you need.
I'd like to know about a particular attraction.|I'll be happy to give you the information you need. What's the name of the attraction?
museum of archaelogy and anthropology. i want its phone number and area|That museum is located at the city centre and the postcode is cb23dz.  Is there anything else that I can help you with?
Do you have the phone number? I also need help finding a train.|The phone number is 01223333516.
Great. Can i get a train to bishops stortford on Thursday?|Yes I will take the first one abvailable,will you book it for me ?
I am looking for a place to stay in Cambridge. I prefer a cheap, 4 star hotel.|I have he cambridge belfry in the west area. It is cheap and has 4 stars. Would you like me to book that for you?
Does this place have free wifi?|Yes, the cambridge belfry has internet.  Would you like me to book it for you?
Yes, I would like to book it for 5 people for 5 nights, beginning on Friday.|You are booked and your reference number is CK82ZWXD. Can I help with anything else?
Yes, can you help me find a train into Cambridge?|Where will you be departing from?
I am departing from Birmingham New Street|We have several trains to cambridge the earliest leaves at 05:40 and the latest one leaves at 23:40.  Do you have a specific time you would like to leave?
If I could leave on the first one after 16:30. that would be perfect.|What day would you like to travel?
On Friday, please.|The first one after 16:30 is the TR6477, leaving at 16:40. Would you like a ticket on this train?
Sure.  I would like 5 tickets, please.|Good news! Booking was successful, the total fee is 375.5 GBP payable at the station . Reference number is : K5EOIMR6.  Is there anything else?
That will be all. Thank you!|No problem, enjoy your stay in cambridge.
Hi. Can you help me find an east hotel?|Sure, did you need anything else specifically?
I would like something with 4 or 5 stars.|We have six four star guesthouses on the east side. Does price matter?
No, it does not matter. I am also looking a for place with free parking.|All have free parking! Moderately or cheaply priced?
The price does not matter.|I recommend the Warkworth House at Warkworth Terrace.  Would you like me to book this for you?
Hello, I am planning a visit to Cambridge and would like to find out about Bloomsbury Restaurant.|Bloomsbury restaurant serves international cuisine, is located in the centre part of town, and is in the moderate price range. Would you like the address and/or phone number?
Actually, are you able to book me a table? I'd like it to be for Saturday. The table should be for 8 people, at 19:15, and please provide a reference number.|Booking was successful. The table will be reserved for 15 minutes. Reference number is : HSIINNN4. Did you need anything else today?
I would like a train, arriving by 1500 and departing from birmingham new street.|There are 63 different trains that leave Birmingham New Street and arrive by 15:00, where did you want to go?
Cambridge, of course! I need the make it to the restaurant booking!|Certainly, leaving birmingham new street on saturday would you rather leave at 10:40 to arrive by 13:23, or leave at 11:40 to arrive by 14:23?
I would like to leave at 11:40 please|Train TR4553 departs at 11:40 and arrives at 14:23. Would you like assistance booking a ticket?
Can you confirm that the train booing is for 8 people, please?|Yes, I was able to book 8 tickets on that train for you. The total fee due, payable at the station, is 480.64 GBP. Your reference number is G99GK4JT.
Wonderful! You have been incredibly helpful. That will be all I need today.|Okay! Glad I could be of help.
Are there any expensive european restaurants around?|I found 5 expensive european restaurants. Which area of town would you like to look in?
I don't have a preference, what do you recommend? I'll need the area, address and phone please.|City Stop Restaurant, 01223363270, post code is, cb41uy,Cambridge City Football Club Milton Road Chesterton. Anything else?
I also need a train leaving cambridge after 21:15.|What is your destination?
i need it to go to london liverpool street|I have several. Is there a time you would like to arrive by?
What times do you have available?|What day would you like to travel?
I want to travel on Tuesday|I would suggest train ID TR5722 which leaves at 21:59 and arrives at London Liverpool Street at 23:27.
That sounds like it would work.  Please make a reservation for 4 people on that train, please.|Alright, the booking was successful, the total fee is 66.4 GBP payable at the station. Your reference number is: RLF15GH7. Can I do anything else for you?
No thanks. I think that's all. Have a nice day. Bye.|Great! You're quite welcome. Goodbye!
Can I please book a train for Friday?|Sure, what destination would you like?
I'm going to Leicester.|Where will you be leaving from?
I will be leaving from Ely no later then 17:00.|I have a train that leaves at 16:21. Would you like a booking?
Yes please can you book me one seat on that train and let me know the reference number?|actually, i believe some incorrect information was entered. i have not trains from ely to leicester on friday after 17:00. let's verify what you're looking for.
Sure, I am looking for a train going to Leicester that departs from Cambridge. It should leave after 10:30 on Friday.|Great!  There is the TR8080 leaving Cambridge Friday at 11:21 and arriving by 13:06 in Leicester.  Is that the one you want booked?
